Real: -5.419983, Imaginary: 0.250381
Real: 0.068627, Imaginary: -0.756995
Real: -0.292672, Imaginary: -1.164891
Real: -1.103302, Imaginary: 1.101110
Real: -0.759023, Imaginary: -0.276457
Real: 0.367124, Imaginary: 1.476167
Real: 0.634452, Imaginary: -0.793974
Real: 1.243844, Imaginary: -0.516244
Real: 1.244930, Imaginary: -2.189034
Real: 1.896742, Imaginary: -0.776429
Real: 0.220804, Imaginary: 0.714758
Real: 1.018596, Imaginary: 0.133133
Real: 0.956971, Imaginary: 0.304265
Real: -1.112011, Imaginary: -0.830796
Real: -1.124605, Imaginary: -0.446306
Real: -0.073798, Imaginary: -0.749796
Real: -0.279363, Imaginary: -0.382835
Real: -0.327142, Imaginary: -0.792939
Real: 0.822528, Imaginary: -0.101834
Real: 1.383236, Imaginary: 1.103485
Real: 2.609637, Imaginary: 0.610476
Real: -0.081856, Imaginary: 0.069024
Real: 1.819851, Imaginary: -0.891858
Real: -0.499658, Imaginary: 0.566494
Real: 0.483750, Imaginary: -1.398697
Real: -0.187120, Imaginary: -0.952327
Real: -0.330892, Imaginary: 1.204964
Real: -0.349965, Imaginary: 0.569240
Real: -1.311112, Imaginary: 0.423421
Real: -1.152184, Imaginary: -0.450578
Real: -1.024562, Imaginary: 1.073796
Real: 0.737716, Imaginary: 0.222058
Real: -1.109526, Imaginary: -0.893149
Real: -0.957443, Imaginary: 0.012628
Real: -0.225147, Imaginary: -0.033195
Real: -0.484700, Imaginary: 0.962287
Real: -2.389474, Imaginary: -1.305084
Real: 1.231838, Imaginary: 0.362969
Real: -0.242974, Imaginary: -0.331896
Real: 0.325195, Imaginary: -0.299995
Real: 1.455489, Imaginary: 0.802241
Real: 0.453627, Imaginary: 0.124230
Real: -1.579420, Imaginary: 0.653627
Real: 0.086913, Imaginary: 0.006470
Real: -0.937569, Imaginary: -0.903721
Real: -0.015812, Imaginary: 1.043732
Real: -0.549011, Imaginary: -1.035388
Real: -0.079838, Imaginary: -0.172222
Real: -0.164446, Imaginary: -2.108970
Real: -1.092693, Imaginary: 0.313772
Real: 0.003488, Imaginary: 0.749019
Real: 0.244898, Imaginary: 0.135233
Real: 0.428490, Imaginary: 0.697919
Real: 0.568722, Imaginary: -0.792033
Real: 1.695878, Imaginary: 1.405460
Real: 0.477380, Imaginary: -0.381337
Real: -1.701771, Imaginary: 0.989430
Real: -0.753129, Imaginary: 1.313132
Real: -0.022051, Imaginary: -0.992578
Real: 0.222341, Imaginary: 0.403673
Real: -0.195401, Imaginary: 0.052563
Real: 0.817158, Imaginary: -1.360242
Real: -1.534882, Imaginary: -0.708856
Real: -0.976316, Imaginary: 0.911716
Real: -1.133106, Imaginary: -1.017359
Real: 0.103819, Imaginary: -2.515097
Real: -1.244822, Imaginary: 0.186139
Real: -0.392634, Imaginary: 1.260328
Real: -0.011909, Imaginary: -0.786012
Real: -1.260321, Imaginary: -0.790094
Real: -0.157630, Imaginary: 1.876668
Real: -0.715147, Imaginary: -0.210935
Real: 0.755629, Imaginary: -0.225351
Real: -0.055227, Imaginary: 0.671757
Real: 0.229088, Imaginary: -0.229203
Real: 0.749083, Imaginary: 1.038184
Real: -1.021077, Imaginary: -0.957243
Real: 0.039487, Imaginary: -0.122035
Real: 0.725669, Imaginary: 0.070910
Real: -0.304358, Imaginary: 1.268446
Real: -0.141874, Imaginary: 0.047779
Real: -0.076498, Imaginary: 0.183083
Real: -0.224452, Imaginary: 0.768605
Real: 0.277509, Imaginary: 0.730408
Real: -0.245113, Imaginary: 0.803621
Real: 1.820318, Imaginary: -1.888111
Real: 1.549091, Imaginary: -1.373206
Real: -0.068716, Imaginary: 0.609342
Real: 0.920779, Imaginary: -1.934281
Real: 1.123550, Imaginary: 0.197710
Real: -1.475169, Imaginary: 0.427490
Real: -0.672028, Imaginary: 0.671732
Real: -0.576832, Imaginary: 1.167282
Real: 0.342013, Imaginary: -0.430502
Real: -0.970565, Imaginary: 0.281490
Real: -0.191270, Imaginary: -0.359662
Real: 0.069387, Imaginary: -0.978405
Real: -0.373688, Imaginary: -1.065448
Real: 0.522030, Imaginary: -0.969548
Real: -0.015450, Imaginary: -0.140593
Real: -1.828496, Imaginary: 2.215159
Real: 1.327588, Imaginary: -0.698559
Real: -1.839282, Imaginary: 0.021373
Real: -0.877218, Imaginary: -0.012430
Real: -0.247229, Imaginary: 0.780627
Real: 0.251802, Imaginary: -1.420706
Real: -0.766844, Imaginary: -2.294238
Real: 0.299503, Imaginary: 0.530532
Real: 0.270646, Imaginary: -0.774183
Real: -0.240701, Imaginary: 1.026587
Real: 2.534349, Imaginary: -0.673957
Real: -0.833588, Imaginary: -1.161473
Real: -0.483196, Imaginary: 0.920097
Real: -1.417450, Imaginary: 0.338070
Real: 0.329657, Imaginary: -0.959378
Real: -0.382537, Imaginary: -0.437721
Real: -0.636414, Imaginary: 0.515094
Real: 0.442997, Imaginary: -2.299968
Real: 1.390543, Imaginary: -0.764438
Real: 1.218971, Imaginary: -1.360694
Real: 1.278279, Imaginary: 0.720286
Real: 0.544009, Imaginary: -1.629949
Real: -0.407176, Imaginary: 2.169212
Real: 1.647177, Imaginary: -0.438130
Real: 1.048119, Imaginary: 0.158145
Real: -1.434504, Imaginary: 1.096016
Real: 0.877269, Imaginary: 0.655601
Real: -0.027317, Imaginary: 1.303749
Real: -0.746123, Imaginary: -0.874901
Real: 0.080450, Imaginary: 1.165715
Real: -0.714666, Imaginary: 0.467566
Real: -0.305339, Imaginary: 0.241586
Real: -0.603622, Imaginary: 0.814885
Real: 0.522038, Imaginary: -0.021877
Real: -1.629486, Imaginary: 1.473377
Real: -0.848333, Imaginary: 0.875813
Real: -1.266090, Imaginary: 0.477748
Real: 1.454579, Imaginary: 0.695579
Real: -2.418732, Imaginary: -0.829653
Real: -0.269617, Imaginary: 0.415164
Real: 0.650123, Imaginary: -0.920589
Real: -1.487617, Imaginary: 0.678171
Real: -1.183918, Imaginary: 0.082637
Real: -1.227762, Imaginary: 0.401609
Real: 1.441283, Imaginary: -1.064794
Real: 0.285503, Imaginary: 0.642519
Real: 0.771065, Imaginary: 0.738328
Real: -0.101032, Imaginary: 0.200075
Real: 0.078111, Imaginary: 0.394592
Real: -0.361836, Imaginary: 0.361573
Real: 1.389958, Imaginary: -1.126816
Real: 0.122873, Imaginary: 2.136805
Real: 1.830502, Imaginary: -1.397166
Real: -0.264872, Imaginary: 2.178105
Real: 0.236271, Imaginary: 1.045781
Real: 0.667858, Imaginary: -2.152117
Real: -0.282229, Imaginary: 0.472825
